CMDLINE .\tauri-counter-app.exe
CHLD 4 18.171875 1660495624.9032
CHLD 5 62.957031 1660495624.9032
CHLD 6 17.324219 1660495624.9032
MEM 331.953125 1660495625.0119
CHLD 0 97.089844 1660495625.0149
CHLD 1 7.484375 1660495625.0149
CHLD 2 84.089844 1660495625.0149
CHLD 3 25.632812 1660495625.0149
CHLD 4 18.171875 1660495625.0149
CHLD 5 62.960938 1660495625.0149
CHLD 6 17.324219 1660495625.0149
MEM 332.101562 1660495625.1267
CHLD 0 97.089844 1660495625.1307
CHLD 1 7.484375 1660495625.1307
CHLD 2 84.101562 1660495625.1307
CHLD 3 25.632812 1660495625.1317
CHLD 4 18.171875 1660495625.1317
CHLD 5 63.121094 1660495625.1317
CHLD 6 17.324219 1660495625.1317
MEM 332.164062 1660495625.2434
CHLD 0 97.089844 1660495625.2474
CHLD 1 7.484375 1660495625.2474
CHLD 2 84.105469 1660495625.2474
CHLD 3 25.632812 1660495625.2474
CHLD 4 18.171875 1660495625.2474
CHLD 5 63.156250 1660495625.2474
CHLD 6 17.324219 1660495625.2474
MEM 332.171875 1660495625.3602
CHLD 0 97.089844 1660495625.3642
CHLD 1 7.484375 1660495625.3642
CHLD 2 84.109375 1660495625.3642
CHLD 3 25.632812 1660495625.3642
CHLD 4 18.171875 1660495625.3642
CHLD 5 63.160156 1660495625.3642
CHLD 6 17.324219 1660495625.3642
MEM 332.230469 1660495625.4834
CHLD 0 97.089844 1660495625.4874
CHLD 1 7.484375 1660495625.4874
CHLD 2 84.109375 1660495625.4874
CHLD 3 25.632812 1660495625.4874
CHLD 4 18.171875 1660495625.4874
CHLD 5 63.218750 1660495625.4874
CHLD 6 17.324219 1660495625.4874
MEM 332.390625 1660495625.6028
CHLD 0 97.089844 1660495625.6058
CHLD 1 7.484375 1660495625.6058
CHLD 2 84.125000 1660495625.6058
CHLD 3 25.632812 1660495625.6058
CHLD 4 18.171875 1660495625.6058
CHLD 5 63.363281 1660495625.6058
CHLD 6 17.324219 1660495625.6058
MEM 332.503906 1660495625.7192
CHLD 0 97.089844 1660495625.7222
CHLD 1 7.484375 1660495625.7222
CHLD 2 84.128906 1660495625.7222
CHLD 3 25.632812 1660495625.7222
CHLD 4 18.171875 1660495625.7222
CHLD 5 63.472656 1660495625.7222
CHLD 6 17.324219 1660495625.7222
MEM 332.562500 1660495625.8379
CHLD 0 97.089844 1660495625.8419
CHLD 1 7.484375 1660495625.8419
CHLD 2 84.128906 1660495625.8419
CHLD 3 25.632812 1660495625.8419
CHLD 4 18.171875 1660495625.8419
CHLD 5 63.539062 1660495625.8419
CHLD 6 17.324219 1660495625.8419
MEM 332.605469 1660495625.9489
CHLD 0 97.089844 1660495625.9529
CHLD 1 7.484375 1660495625.9529
CHLD 2 84.128906 1660495625.9529
CHLD 3 25.632812 1660495625.9529
CHLD 4 18.171875 1660495625.9529
CHLD 5 63.582031 1660495625.9529
CHLD 6 17.324219 1660495625.9529
MEM 332.691406 1660495626.0729
CHLD 0 97.089844 1660495626.0769
CHLD 1 7.484375 1660495626.0769
CHLD 2 84.140625 1660495626.0769
CHLD 3 25.632812 1660495626.0769
CHLD 4 18.171875 1660495626.0769
CHLD 5 63.648438 1660495626.0769
CHLD 6 17.324219 1660495626.0769
MEM 332.761719 1660495626.1810
CHLD 0 97.089844 1660495626.1850
CHLD 1 7.484375 1660495626.1850
CHLD 2 84.140625 1660495626.1850
CHLD 3 25.632812 1660495626.1850
CHLD 4 18.171875 1660495626.1850
CHLD 5 63.714844 1660495626.1850
CHLD 6 17.324219 1660495626.1850
MEM 332.769531 1660495626.2915
CHLD 0 97.089844 1660495626.2948
CHLD 1 7.484375 1660495626.2948
CHLD 2 84.144531 1660495626.2948
CHLD 3 25.632812 1660495626.2948
CHLD 4 18.171875 1660495626.2948
CHLD 5 63.718750 1660495626.2948
CHLD 6 17.324219 1660495626.2948
MEM 332.894531 1660495626.4148
CHLD 0 97.089844 1660495626.4179
CHLD 1 7.484375 1660495626.4179
CHLD 2 84.144531 1660495626.4179
CHLD 3 25.746094 1660495626.4179
CHLD 4 18.171875 1660495626.4179
CHLD 5 63.730469 1660495626.4179
CHLD 6 17.324219 1660495626.4179
MEM 332.945312 1660495626.5239
CHLD 0 97.089844 1660495626.5269
CHLD 1 7.484375 1660495626.5269
CHLD 2 84.144531 1660495626.5269
CHLD 3 25.746094 1660495626.5269
CHLD 4 18.171875 1660495626.5269
CHLD 5 63.781250 1660495626.5269
CHLD 6 17.324219 1660495626.5269
MEM 332.957031 1660495626.6493
CHLD 0 97.089844 1660495626.6523
CHLD 1 7.484375 1660495626.6523
CHLD 2 84.144531 1660495626.6523
CHLD 3 25.746094 1660495626.6523
CHLD 4 18.171875 1660495626.6523
CHLD 5 63.789062 1660495626.6523
CHLD 6 17.328125 1660495626.6523
MEM 332.992188 1660495626.7636
CHLD 0 97.089844 1660495626.7680
CHLD 1 7.484375 1660495626.7680
CHLD 2 84.152344 1660495626.7680
CHLD 3 25.746094 1660495626.7680
CHLD 4 18.171875 1660495626.7680
CHLD 5 63.820312 1660495626.7680
CHLD 6 17.328125 1660495626.7680
MEM 333.027344 1660495626.8811
CHLD 0 97.089844 1660495626.8851
CHLD 1 7.484375 1660495626.8851
CHLD 2 84.156250 1660495626.8851
CHLD 3 25.746094 1660495626.8851
CHLD 4 18.171875 1660495626.8851
CHLD 5 63.847656 1660495626.8851
CHLD 6 17.328125 1660495626.8851
MEM 333.039062 1660495627.0097
CHLD 0 97.089844 1660495627.0137
CHLD 1 7.484375 1660495627.0137
CHLD 2 84.156250 1660495627.0137
CHLD 3 25.746094 1660495627.0137
CHLD 4 18.171875 1660495627.0137
CHLD 5 63.859375 1660495627.0137
CHLD 6 17.328125 1660495627.0137
MEM 333.058594 1660495627.1348
CHLD 0 97.089844 1660495627.1397
CHLD 1 7.484375 1660495627.1397
CHLD 2 84.156250 1660495627.1397
CHLD 3 25.746094 1660495627.1397
CHLD 4 18.171875 1660495627.1397
CHLD 5 63.878906 1660495627.1397
CHLD 6 17.328125 1660495627.1397
MEM 333.058594 1660495627.2522
CHLD 0 97.089844 1660495627.2562
CHLD 1 7.484375 1660495627.2562
CHLD 2 84.156250 1660495627.2562
CHLD 3 25.746094 1660495627.2562
CHLD 4 18.171875 1660495627.2562
CHLD 5 63.878906 1660495627.2562
CHLD 6 17.328125 1660495627.2562
MEM 333.078125 1660495627.3656
CHLD 0 97.089844 1660495627.3696
CHLD 1 7.484375 1660495627.3696
CHLD 2 84.160156 1660495627.3696
CHLD 3 25.746094 1660495627.3696
CHLD 4 18.171875 1660495627.3696
CHLD 5 63.894531 1660495627.3696
CHLD 6 17.328125 1660495627.3696
MEM 333.105469 1660495627.4897
CHLD 0 97.089844 1660495627.4938
CHLD 1 7.484375 1660495627.4938
CHLD 2 84.167969 1660495627.4938
CHLD 3 25.746094 1660495627.4938
CHLD 4 18.171875 1660495627.4938
CHLD 5 63.914062 1660495627.4938
CHLD 6 17.328125 1660495627.4938
MEM 333.019531 1660495627.6141
CHLD 0 97.089844 1660495627.6181
CHLD 1 7.484375 1660495627.6181
CHLD 2 84.175781 1660495627.6181
CHLD 3 25.746094 1660495627.6181
CHLD 4 18.171875 1660495627.6181
CHLD 5 63.820312 1660495627.6181
CHLD 6 17.328125 1660495627.6181
MEM 333.027344 1660495627.7354
CHLD 0 97.089844 1660495627.7384
CHLD 1 7.484375 1660495627.7384
CHLD 2 84.175781 1660495627.7384
CHLD 3 25.746094 1660495627.7384
CHLD 4 18.171875 1660495627.7384
CHLD 5 63.828125 1660495627.7384
CHLD 6 17.328125 1660495627.7384
MEM 333.054688 1660495627.8588
CHLD 0 97.089844 1660495627.8618
CHLD 1 7.484375 1660495627.8618
CHLD 2 84.187500 1660495627.8618
CHLD 3 25.746094 1660495627.8618
CHLD 4 18.171875 1660495627.8618
CHLD 5 63.843750 1660495627.8618
CHLD 6 17.328125 1660495627.8618
MEM 333.078125 1660495627.9869
CHLD 0 97.089844 1660495627.9909
CHLD 1 7.484375 1660495627.9909
CHLD 2 84.187500 1660495627.9909
CHLD 3 25.746094 1660495627.9909
CHLD 4 18.171875 1660495627.9909
CHLD 5 63.867188 1660495627.9909
CHLD 6 17.328125 1660495627.9909
MEM 333.144531 1660495628.1058
CHLD 0 97.089844 1660495628.1088
CHLD 1 7.484375 1660495628.1088
CHLD 2 84.195312 1660495628.1088
CHLD 3 25.746094 1660495628.1088
CHLD 4 18.171875 1660495628.1088
CHLD 5 63.925781 1660495628.1088
CHLD 6 17.328125 1660495628.1088
MEM 333.300781 1660495628.2193
CHLD 0 97.089844 1660495628.2223
CHLD 1 7.484375 1660495628.2223
CHLD 2 84.195312 1660495628.2223
CHLD 3 25.746094 1660495628.2223
CHLD 4 18.171875 1660495628.2223
CHLD 5 64.082031 1660495628.2223
CHLD 6 17.328125 1660495628.2223
MEM 333.335938 1660495628.3435
CHLD 0 97.109375 1660495628.3464
CHLD 1 7.484375 1660495628.3464
CHLD 2 84.195312 1660495628.3464
CHLD 3 25.746094 1660495628.3464
CHLD 4 18.171875 1660495628.3464
CHLD 5 64.097656 1660495628.3464
CHLD 6 17.328125 1660495628.3464
MEM 333.363281 1660495628.4670
CHLD 0 97.109375 1660495628.4709
CHLD 1 7.484375 1660495628.4709
CHLD 2 84.195312 1660495628.4709
CHLD 3 25.746094 1660495628.4709
CHLD 4 18.171875 1660495628.4709
CHLD 5 64.125000 1660495628.4709
CHLD 6 17.328125 1660495628.4709
